ESTACIO,CODI_CONTAMINANT,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,DATA
4,10,21.0,19.0,15.0,8.0,4.0,2.0,4.0,4.0,5.0,6.0,8.0,8.0,13.0,14.0,14.0,14.0,15.0,15.0,15.0,11.0,12.0,14.0,16.0,17.0,2019-04-07
4,10,15.0,14.0,11.0,13.0,11.0,11.0,15.0,33.0,26.0,30.0,28.0,21.0,32.0,23.0,19.0,25.0,24.0,30.0,31.0,23.0,22.0,27.0,22.0,24.0,2019-04-08
4,10,24.0,23.0,22.0,19.0,18.0,17.0,18.0,21.0,25.0,32.0,21.0,14.0,10.0,11.0,16.0,13.0,15.0,16.0,14.0,12.0,10.0,10.0,12.0,14.0,2019-04-09
4,10,11.0,12.0,9.0,7.0,9.0,5.0,7.0,15.0,18.0,22.0,20.0,25.0,24.0,19.0,30.0,22.0,24.0,12.0,6.0,13.0,14.0,16.0,19.0,25.0,2019-04-10
4,10,20.0,21.0,19.0,15.0,12.0,9.0,8.0,17.0,17.0,18.0,16.0,17.0,15.0,20.0,14.0,13.0,16.0,18.0,17.0,14.0,15.0,16.0,16.0,14.0,2019-04-11
4,10,17.0,20.0,19.0,21.0,19.0,9.0,11.0,16.0,21.0,29.0,27.0,28.0,32.0,25.0,25.0,22.0,24.0,33.0,50.0,78.0,33.0,22.0,25.0,22.0,2019-04-12
4,10,18.0,17.0,15.0,23.0,28.0,25.0,27.0,27.0,30.0,31.0,25.0,29.0,33.0,26.0,27.0,29.0,27.0,30.0,28.0,26.0,27.0,27.0,33.0,26.0,2019-04-13
4,10,23.0,30.0,31.0,32.0,28.0,24.0,24.0,26.0,26.0,28.0,35.0,31.0,26.0,24.0,24.0,24.0,21.0,23.0,24.0,23.0,23.0,24.0,20.0,21.0,2019-04-14
4,10,24.0,27.0,25.0,20.0,18.0,20.0,23.0,26.0,26.0,38.0,27.0,35.0,31.0,31.0,26.0,23.0,24.0,24.0,28.0,24.0,24.0,23.0,19.0,19.0,2019-04-15
4,10,20.0,23.0,23.0,23.0,23.0,24.0,22.0,26.0,34.0,39.0,41.0,24.0,21.0,21.0,20.0,17.0,19.0,23.0,24.0,22.0,19.0,15.0,13.0,14.0,2019-04-16
4,10,12.0,12.0,11.0,18.0,19.0,18.0,22.0,31.0,42.0,42.0,15.0,16.0,18.0,13.0,12.0,12.0,12.0,17.0,17.0,18.0,19.0,18.0,18.0,16.0,2019-04-17
4,10,16.0,14.0,12.0,13.0,11.0,14.0,10.0,16.0,21.0,25.0,20.0,25.0,28.0,34.0,31.0,56.0,45.0,31.0,34.0,32.0,35.0,23.0,22.0,23.0,2019-04-18
4,10,24.0,30.0,27.0,29.0,24.0,23.0,25.0,29.0,33.0,34.0,35.0,32.0,47.0,56.0,43.0,40.0,54.0,49.0,51.0,45.0,38.0,42.0,40.0,38.0,2019-04-19
4,10,35.0,37.0,34.0,34.0,33.0,32.0,31.0,34.0,40.0,38.0,45.0,43.0,35.0,40.0,43.0,41.0,38.0,44.0,36.0,40.0,19.0,18.0,13.0,13.0,2019-04-20
4,10,16.0,18.0,27.0,30.0,30.0,36.0,29.0,27.0,24.0,44.0,46.0,40.0,37.0,30.0,36.0,36.0,46.0,47.0,47.0,44.0,40.0,45.0,40.0,38.0,2019-04-21
4,10,40.0,35.0,42.0,35.0,42.0,36.0,41.0,46.0,52.0,41.0,48.0,57.0,62.0,67.0,63.0,57.0,56.0,67.0,61.0,58.0,63.0,59.0,60.0,43.0,2019-04-22
4,10,52.0,33.0,26.0,21.0,14.0,54.0,86.0,62.0,48.0,78.0,42.0,40.0,57.0,64.0,81.0,75.0,70.0,66.0,54.0,48.0,43.0,54.0,45.0,37.0,2019-04-23
4,10,36.0,11.0,14.0,17.0,22.0,21.0,19.0,32.0,5.0,24.0,29.0,48.0,63.0,54.0,57.0,63.0,59.0,59.0,56.0,39.0,40.0,44.0,36.0,34.0,2019-04-24
4,10,38.0,36.0,37.0,33.0,30.0,32.0,32.0,40.0,59.0,65.0,58.0,59.0,61.0,35.0,20.0,16.0,24.0,47.0,40.0,26.0,29.0,37.0,22.0,6.0,2019-04-25
